user_id,attr_1,attr_2,attr_3,age,domain
0,,1.0,0.0,,@gmail.com
1,1.0,1.0,2.0,50.0,@gmail.com
2,,1.0,0.0,,other
3,,1.0,0.0,,@gmail.com
4,1.0,1.0,2.0,33.0,@gmail.com
5,1.0,1.0,1.0,30.0,@gmail.com
6,1.0,1.0,2.0,32.0,@gmail.com
7,1.0,1.0,1.0,36.0,@gmail.com
8,1.0,1.0,1.0,43.0,@yahoo.com
9,,1.0,0.0,,@gmail.com
10,1.0,1.0,2.0,33.0,@gmail.com
11,1.0,1.0,2.0,32.0,@gmail.com
12,1.0,1.0,2.0,25.0,@hotmail.com
13,,1.0,0.0,,@hotmail.com
14,1.0,1.0,4.0,36.0,@gmail.com
15,1.0,1.0,3.0,38.0,@gmail.com
16,,1.0,0.0,,@yahoo.com
17,1.0,1.0,2.0,45.0,@gmail.com
18,1.0,1.0,2.0,28.0,@gmail.com
19,,1.0,0.0,,@gmail.com
20,1.0,1.0,1.0,43.0,@gmail.com
21,1.0,1.0,2.0,44.0,@hotmail.com
22,1.0,1.0,2.0,39.0,@yahoo.com
23,1.0,1.0,3.0,22.0,@gmail.com
24,1.0,1.0,2.0,24.0,@hotmail.com
25,1.0,1.0,1.0,40.0,@gmail.com
26,,1.0,0.0,,@hotmail.com
27,1.0,1.0,1.0,37.0,@gmail.com
28,1.0,1.0,4.0,50.0,@gmail.com
29,,1.0,0.0,,@gmail.com
30,,1.0,0.0,,@gmail.com
31,1.0,1.0,2.0,24.0,@gmail.com
32,1.0,1.0,2.0,29.0,@gmail.com
33,1.0,1.0,2.0,23.0,@gmail.com
34,1.0,1.0,2.0,21.0,@gmail.com
35,,1.0,0.0,,@gmail.com
36,1.0,1.0,2.0,28.0,@gmail.com
37,1.0,1.0,2.0,25.0,@hotmail.com
38,1.0,1.0,2.0,39.0,@gmail.com
39,1.0,1.0,2.0,24.0,@gmail.com
40,1.0,1.0,1.0,34.0,@gmail.com
41,1.0,1.0,2.0,27.0,@gmail.com
42,1.0,1.0,2.0,40.0,@ymail.com
43,1.0,1.0,2.0,47.0,@gmail.com
44,1.0,1.0,2.0,32.0,other
45,1.0,1.0,2.0,34.0,@hotmail.com
46,1.0,1.0,3.0,50.0,@gmail.com
47,,1.0,0.0,,@gmail.com
48,,1.0,0.0,,@gmail.com
49,1.0,1.0,2.0,27.0,@gmail.com
50,1.0,1.0,1.0,39.0,@hotmail.com
51,1.0,1.0,2.0,40.0,@gmail.com
52,1.0,1.0,2.0,26.0,@gmail.com
53,1.0,1.0,2.0,50.0,@gmail.com
54,1.0,1.0,2.0,37.0,@gmail.com
55,,1.0,0.0,,@hotmail.com
56,1.0,1.0,1.0,36.0,@gmail.com
57,,1.0,0.0,,@gmail.com
58,1.0,1.0,2.0,33.0,@gmail.com
59,1.0,1.0,2.0,30.0,@gmail.com
60,,1.0,0.0,,other
61,1.0,1.0,2.0,50.0,@gmail.com
62,1.0,1.0,2.0,22.0,@gmail.com
63,1.0,1.0,2.0,27.0,@gmail.com
64,1.0,1.0,2.0,28.0,@hotmail.com
65,1.0,1.0,1.0,28.0,@hotmail.com
66,1.0,1.0,2.0,24.0,@gmail.com
67,1.0,1.0,1.0,25.0,@live.com
68,1.0,1.0,2.0,20.0,@gmail.com
69,1.0,1.0,2.0,25.0,@hotmail.com
70,1.0,1.0,2.0,26.0,@yahoo.com
71,1.0,1.0,2.0,42.0,@hotmail.com
72,1.0,1.0,1.0,28.0,@gmail.com
73,,1.0,0.0,,@gmail.com
74,1.0,1.0,2.0,34.0,@gmail.com
75,1.0,1.0,1.0,34.0,@gmail.com
76,,1.0,0.0,,@gmail.com
77,1.0,1.0,1.0,37.0,@gmail.com
78,1.0,1.0,2.0,50.0,other
79,1.0,,2.0,28.0,@yahoo.com
80,,1.0,0.0,,@gmail.com
81,,1.0,0.0,,other
82,1.0,1.0,2.0,43.0,@gmail.com
83,1.0,1.0,2.0,35.0,@gmail.com
84,1.0,1.0,2.0,34.0,@hotmail.com
85,,1.0,0.0,,@gmail.com
86,,1.0,0.0,,@gmail.com
87,1.0,1.0,2.0,28.0,@gmail.com
88,,1.0,0.0,,@gmail.com
89,1.0,1.0,1.0,27.0,@gmail.com
90,1.0,1.0,1.0,39.0,@gmail.com
91,1.0,1.0,2.0,28.0,@gmail.com
